Time, Usage for CentOS7-Docker-0, Usage in MHz for CentOS7-Docker-0, Usage in MHz for 0, Usage in MHz for 1
Wed May 16 15:42:40 GMT+0100 2018, 0.37, 17, 7, 6
Wed May 16 15:43:00 GMT+0100 2018, 0.44, 21, 7, 6
Wed May 16 15:43:20 GMT+0100 2018, 0.29, 14, 6, 5
Wed May 16 15:43:40 GMT+0100 2018, 0.36, 17, 6, 5
Wed May 16 15:44:00 GMT+0100 2018, 0.38, 18, 6, 5
Wed May 16 15:44:20 GMT+0100 2018, 0.38, 18, 7, 5
Wed May 16 15:44:40 GMT+0100 2018, 0.36, 17, 7, 7
Wed May 16 15:45:00 GMT+0100 2018, 0.44, 21, 8, 7
Wed May 16 15:45:20 GMT+0100 2018, 0.38, 18, 7, 5
Wed May 16 15:45:40 GMT+0100 2018, 0.4, 19, 7, 6
Wed May 16 15:46:00 GMT+0100 2018, 0.36, 17, 7, 5
Wed May 16 15:46:20 GMT+0100 2018, 12.05, 577, 270, 282
Wed May 16 15:46:40 GMT+0100 2018, 57.7, 2762, 1372, 1244
Wed May 16 15:47:00 GMT+0100 2018, 70.71, 3385, 1702, 1638
Wed May 16 15:47:20 GMT+0100 2018, 1.89, 90, 37, 44
Wed May 16 15:47:40 GMT+0100 2018, 7.72, 369, 162, 193
Wed May 16 15:48:00 GMT+0100 2018, 6.43, 308, 148, 143
Wed May 16 15:48:20 GMT+0100 2018, 14.21, 680, 330, 332
Wed May 16 15:48:40 GMT+0100 2018, 1.71, 81, 36, 39
Wed May 16 15:49:00 GMT+0100 2018, 0.71, 34, 12, 16
Wed May 16 15:49:20 GMT+0100 2018, 0.71, 34, 11, 16
Wed May 16 15:49:40 GMT+0100 2018, 0.74, 35, 13, 17
Wed May 16 15:50:00 GMT+0100 2018, 1.05, 50, 29, 16
Wed May 16 15:50:20 GMT+0100 2018, 0.84, 40, 15, 19
Wed May 16 15:50:40 GMT+0100 2018, 0.64, 30, 11, 15
Wed May 16 15:51:00 GMT+0100 2018, 0.68, 32, 11, 16
Wed May 16 15:51:20 GMT+0100 2018, 0.69, 33, 11, 17
Wed May 16 15:51:40 GMT+0100 2018, 0.69, 33, 11, 15
Wed May 16 15:52:00 GMT+0100 2018, 0.66, 31, 11, 16
Wed May 16 15:52:20 GMT+0100 2018, 0.82, 39, 12, 20
Wed May 16 15:52:40 GMT+0100 2018, 0.71, 34, 13, 16
Wed May 16 15:53:00 GMT+0100 2018, 0.71, 34, 12, 15
Wed May 16 15:53:20 GMT+0100 2018, 0.67, 32, 10, 16
Wed May 16 15:53:40 GMT+0100 2018, 0.65, 31, 12, 13
Wed May 16 15:54:00 GMT+0100 2018, 0.68, 32, 12, 14
Wed May 16 15:54:20 GMT+0100 2018, 0.77, 37, 14, 16
Wed May 16 15:54:40 GMT+0100 2018, 0.67, 32, 12, 13
Wed May 16 15:55:00 GMT+0100 2018, 0.74, 35, 13, 14
Wed May 16 15:55:20 GMT+0100 2018, 0.75, 36, 12, 15
Wed May 16 15:55:40 GMT+0100 2018, 0.77, 36, 10, 15
Wed May 16 15:56:00 GMT+0100 2018, 0.63, 30, 10, 15
Wed May 16 15:56:20 GMT+0100 2018, 65.08, 3116, 1555, 1456
Wed May 16 15:56:40 GMT+0100 2018, 71.26, 3411, 1645, 1702
Wed May 16 15:57:00 GMT+0100 2018, 12.1, 579, 319, 240
Wed May 16 15:57:20 GMT+0100 2018, 8.26, 395, 201, 168
Wed May 16 15:57:40 GMT+0100 2018, 7.6, 364, 185, 160
Wed May 16 15:58:00 GMT+0100 2018, 19.89, 952, 449, 475
