Time, Active for CentOS7-Docker-0, Ballooned memory for CentOS7-Docker-0, Consumed for CentOS7-Docker-0, Granted for CentOS7-Docker-0
Wed May 16 15:43:20 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:43:40 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:44:00 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:44:20 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:44:40 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:45:00 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:45:20 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:45:40 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:46:00 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 15:46:20 GMT+0100 2018, 503316, 0, 8258964, 8259456
Wed May 16 15:46:40 GMT+0100 2018, 2097152, 0, 8258964, 8259456
Wed May 16 15:47:00 GMT+0100 2018, 3690984, 0, 8258964, 8259456
Wed May 16 15:47:20 GMT+0100 2018, 3774872, 0, 8258964, 8259456
Wed May 16 15:47:40 GMT+0100 2018, 4445960, 0, 8258964, 8259456
Wed May 16 15:48:00 GMT+0100 2018, 4445960, 0, 8258964, 8259456
Wed May 16 15:48:20 GMT+0100 2018, 4445960, 0, 8258964, 8259456
Wed May 16 15:48:40 GMT+0100 2018, 5536480, 0, 8258964, 8259456
Wed May 16 15:49:00 GMT+0100 2018, 5536480, 0, 8258964, 8259456
Wed May 16 15:49:20 GMT+0100 2018, 5536480, 0, 8258964, 8259456
Wed May 16 15:49:40 GMT+0100 2018, 5452592, 0, 8258964, 8259456
Wed May 16 15:50:00 GMT+0100 2018, 5452592, 0, 8258964, 8259456
Wed May 16 15:50:20 GMT+0100 2018, 5452592, 0, 8258964, 8259456
Wed May 16 15:50:40 GMT+0100 2018, 5284820, 0, 8258964, 8259456
Wed May 16 15:51:00 GMT+0100 2018, 5284820, 0, 8258964, 8259456
Wed May 16 15:51:20 GMT+0100 2018, 5284820, 0, 8258964, 8259456
Wed May 16 15:51:40 GMT+0100 2018, 3103784, 0, 8258964, 8259456
