Time, Active for CentOS7-Docker-0, Ballooned memory for CentOS7-Docker-0, Consumed for CentOS7-Docker-0, Granted for CentOS7-Docker-0
Wed May 16 16:29:20 GMT+0100 2018, 335544, 0, 8258964, 8259456
Wed May 16 16:29:40 GMT+0100 2018, 251656, 0, 8258964, 8259456
Wed May 16 16:30:00 GMT+0100 2018, 251656, 0, 8258964, 8259456
Wed May 16 16:30:20 GMT+0100 2018, 251656, 0, 8258968, 8259456
Wed May 16 16:30:40 GMT+0100 2018, 167772, 0, 8258968, 8259456
Wed May 16 16:31:00 GMT+0100 2018, 167772, 0, 8258968, 8259456
Wed May 16 16:31:20 GMT+0100 2018, 167772, 0, 8258968, 8259456
Wed May 16 16:31:40 GMT+0100 2018, 83884, 0, 8258968, 8259456
Wed May 16 16:32:00 GMT+0100 2018, 83884, 0, 8258968, 8259456
Wed May 16 16:32:20 GMT+0100 2018, 83884, 0, 8258964, 8259456
Wed May 16 16:32:40 GMT+0100 2018, 251656, 0, 8258964, 8259456
Wed May 16 16:33:00 GMT+0100 2018, 1845492, 0, 8258964, 8259456
Wed May 16 16:33:20 GMT+0100 2018, 3439328, 0, 8258964, 8259456
Wed May 16 16:33:40 GMT+0100 2018, 4362076, 0, 8258964, 8259456
Wed May 16 16:34:00 GMT+0100 2018, 4362076, 0, 8258964, 8259456
Wed May 16 16:34:20 GMT+0100 2018, 4362076, 0, 8258964, 8259456
Wed May 16 16:34:40 GMT+0100 2018, 5452592, 0, 8258964, 8259456
Wed May 16 16:35:00 GMT+0100 2018, 5452592, 0, 8258968, 8259456
Wed May 16 16:35:20 GMT+0100 2018, 5452592, 0, 8258968, 8259456
Wed May 16 16:35:40 GMT+0100 2018, 5704252, 0, 8258968, 8259456
Wed May 16 16:36:00 GMT+0100 2018, 5704252, 0, 8258968, 8259456
Wed May 16 16:36:20 GMT+0100 2018, 5704252, 0, 8258968, 8259456
Wed May 16 16:36:40 GMT+0100 2018, 5955908, 0, 8258968, 8259456
Wed May 16 16:37:00 GMT+0100 2018, 5955908, 0, 8258964, 8259456
Wed May 16 16:37:20 GMT+0100 2018, 5955908, 0, 8258964, 8259456
