Time, Usage for CentOS7-Docker-0, Usage in MHz for CentOS7-Docker-0, Usage in MHz for 0, Usage in MHz for 1
Wed May 16 16:28:40 GMT+0100 2018, 0.82, 39, 15, 17
Wed May 16 16:29:00 GMT+0100 2018, 0.68, 32, 12, 17
Wed May 16 16:29:20 GMT+0100 2018, 0.68, 32, 10, 16
Wed May 16 16:29:40 GMT+0100 2018, 0.65, 31, 12, 14
Wed May 16 16:30:00 GMT+0100 2018, 0.81, 39, 16, 17
Wed May 16 16:30:20 GMT+0100 2018, 0.71, 34, 12, 16
Wed May 16 16:30:40 GMT+0100 2018, 0.7, 33, 12, 16
Wed May 16 16:31:00 GMT+0100 2018, 0.68, 32, 11, 16
Wed May 16 16:31:20 GMT+0100 2018, 0.69, 33, 12, 15
Wed May 16 16:31:40 GMT+0100 2018, 0.9, 43, 15, 22
Wed May 16 16:32:00 GMT+0100 2018, 0.83, 39, 13, 20
Wed May 16 16:32:20 GMT+0100 2018, 1.02, 49, 16, 27
Wed May 16 16:32:40 GMT+0100 2018, 0.81, 39, 13, 19
Wed May 16 16:33:00 GMT+0100 2018, 57.62, 2758, 1299, 1367
Wed May 16 16:33:20 GMT+0100 2018, 84.75, 4058, 1981, 2004
Wed May 16 16:33:40 GMT+0100 2018, 30.92, 1480, 735, 675
Wed May 16 16:34:00 GMT+0100 2018, 28.14, 1347, 640, 625
Wed May 16 16:34:20 GMT+0100 2018, 28.56, 1367, 655, 622
Wed May 16 16:34:40 GMT+0100 2018, 38.52, 1844, 900, 890
Wed May 16 16:35:00 GMT+0100 2018, 2.36, 113, 45, 58
Wed May 16 16:35:20 GMT+0100 2018, 1.2, 57, 23, 27
Wed May 16 16:35:40 GMT+0100 2018, 1.17, 56, 23, 27
Wed May 16 16:36:00 GMT+0100 2018, 1.14, 54, 25, 23
Wed May 16 16:36:20 GMT+0100 2018, 1.89, 90, 27, 57
Wed May 16 16:36:40 GMT+0100 2018, 1.15, 55, 26, 24
Wed May 16 16:37:00 GMT+0100 2018, 1.11, 53, 27, 21
Wed May 16 16:37:20 GMT+0100 2018, 1.02, 48, 23, 20
Wed May 16 16:37:40 GMT+0100 2018, 1.08, 51, 26, 17
Wed May 16 16:38:00 GMT+0100 2018, 0.95, 45, 24, 16
Wed May 16 16:38:20 GMT+0100 2018, 1.03, 49, 27, 17
Wed May 16 16:38:40 GMT+0100 2018, 1.01, 48, 23, 18
Wed May 16 16:39:00 GMT+0100 2018, 1.04, 50, 25, 19
Wed May 16 16:39:20 GMT+0100 2018, 1.03, 49, 23, 19
Wed May 16 16:39:40 GMT+0100 2018, 0.96, 46, 27, 15
Wed May 16 16:40:00 GMT+0100 2018, 1.06, 51, 27, 17
Wed May 16 16:40:20 GMT+0100 2018, 1.05, 50, 27, 17
Wed May 16 16:40:40 GMT+0100 2018, 0.96, 46, 24, 16
Wed May 16 16:41:00 GMT+0100 2018, 1, 48, 25, 17
Wed May 16 16:41:20 GMT+0100 2018, 0.96, 46, 24, 17
Wed May 16 16:41:40 GMT+0100 2018, 0.95, 45, 24, 15
